City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
539,Plettenberg Bay,ZA,-34.0527,23.3716,68.13,92,100,3.18,light rain,2021-03-15 03:37:29
540,Mayo,US,38.8876,-76.5119,48.2,29,1,23.02,clear sky,2021-03-15 03:37:29
541,Lethem,GY,3.3803,-59.7968,77.72,79,95,11.43,overcast clouds,2021-03-15 03:37:30
542,Arlit,NE,18.7369,7.3853,71.22,16,0,6.93,clear sky,2021-03-15 03:37:30
543,Pokrovsk,UA,48.282,37.1758,30.47,87,100,12.17,overcast clouds,2021-03-15 03:37:31
544,Ulladulla,AU,-35.35,150.4667,68.0,34,0,8.05,clear sky,2021-03-15 03:37:31
545,Coruripe,BR,-10.1256,-36.1756,76.14,78,100,5.39,overcast clouds,2021-03-15 03:37:31
546,Barra,BR,-11.0894,-43.1417,75.04,64,47,0.54,scattered clouds,2021-03-15 03:32:50
547,Vyartsilya,RU,62.1764,30.693,32.99,98,100,4.68,light snow,2021-03-15 03:37:32
548,Rondonopolis,BR,-16.4708,-54.6356,72.3,90,97,2.98,moderate rain,2021-03-15 03:37:32
549,Toora-Khem,RU,52.4675,96.11,11.37,70,100,1.45,overcast clouds,2021-03-15 03:37:33
550,Xunchang,CN,28.4543,104.715,78.31,44,11,3.91,few clouds,2021-03-15 03:37:33
551,Moron,AR,-34.6534,-58.6198,75.99,63,1,3.0,clear sky,2021-03-15 03:33:10
552,Grand-Lahou,CI,5.1367,-5.0242,78.73,85,100,3.96,overcast clouds,2021-03-15 03:37:34
553,Mahajanga,MG,-15.7167,46.3167,75.2,100,20,1.14,few clouds,2021-03-15 03:37:34
554,Korcula,HR,42.9622,17.1369,42.8,100,90,5.75,overcast clouds,2021-03-15 03:37:35
555,Lisala,CD,2.15,21.5167,69.33,97,100,1.68,light rain,2021-03-15 03:37:35
556,Oranjemund,NA,-28.55,16.4333,61.66,92,4,13.29,clear sky,2021-03-15 03:35:53
557,Mokobeng,BW,-22.9965,27.6678,62.38,88,0,4.7,clear sky,2021-03-15 03:37:36
558,Pryazha,RU,61.6926,33.6216,32.0,100,100,2.24,overcast clouds,2021-03-15 03:37:36
559,Sakyla,FI,61.0333,22.3333,32.0,100,90,5.75,overcast clouds,2021-03-15 03:37:36
560,Wattegama,LK,6.7989,81.4808,84.2,65,0,6.91,clear sky,2021-03-15 03:37:37
561,Lakes Entrance,AU,-37.8811,147.981,75.0,47,0,1.99,clear sky,2021-03-15 03:37:37
562,Sabla,NG,12.7525,4.7077,78.17,23,91,5.53,overcast clouds,2021-03-15 03:37:38
563,Shubarshi,KZ,48.5872,57.1869,6.03,80,100,6.26,overcast clouds,2021-03-15 03:37:38
564,Otradnoye,RU,59.7775,30.8181,35.01,92,100,4.0,snow,2021-03-15 03:37:38
565,Qusar,AZ,41.4273,48.4289,29.53,59,27,3.98,scattered clouds,2021-03-15 03:37:39
566,Pudozh,RU,61.8099,36.5345,32.81,98,100,5.88,snow,2021-03-15 03:37:39
567,Abu Samrah,SY,35.3029,37.1841,54.75,43,100,5.61,overcast clouds,2021-03-15 03:37:40
568,Schruns,AT,47.0709,9.9475,33.01,100,100,0.69,snow,2021-03-15 03:37:40
569,Michigan City,US,41.7075,-86.895,39.0,75,1,15.5,clear sky,2021-03-15 03:32:48
570,Sangar,RU,63.9242,127.4739,-0.62,88,89,14.41,overcast clouds,2021-03-15 03:37:41
571,Les Cayes,HT,18.2,-73.75,72.64,84,1,3.09,clear sky,2021-03-15 03:37:41
572,Taber,CA,49.8167,-112.1518,48.2,53,0,17.27,clear sky,2021-03-15 03:35:48
573,Mandaguari,BR,-23.5475,-51.6708,78.8,61,0,5.75,clear sky,2021-03-15 03:37:42
574,Havre,FR,49.5833,0.3333,48.2,87,90,20.71,overcast clouds,2021-03-15 03:37:42
575,Calbuco,CL,-41.768,-73.1273,53.6,94,90,8.05,overcast clouds,2021-03-15 03:37:43
576,Auki,SB,-8.7676,160.7034,85.05,68,74,6.06,light rain,2021-03-15 03:37:43
